         27591 function calls (26769 primitive calls) in 0.792 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\re\_compiler.py:573(_code)
       87    0.000    0.000    0.000    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:831(filter)
       13    0.000    0.000    0.000    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\contextlib.py:272(contextmanager)
        1    0.000    0.000    0.006    0.006 C:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\src\domaines\gse\ops\GseOutputDeflateurBuild.py:16(gseOutputDeflateurBuild)
        2    0.000    0.000    0.000    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:2218(debug)
       13    0.000    0.000    0.000    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\functools.py:35(update_wrapper)
      193    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
       13    0.000    0.000    0.006    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\re\__init__.py:280(_compile)
        7    0.000    0.000    0.002    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\dataframe\frame.py:6981(drop)
      117    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      123    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
       14    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       14    0.000    0.000    0.001    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\pathlib.py:407(_load_parts)
       29    0.000    0.000    0.001    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\ntpath.py:268(basename)
      129    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        7    0.000    0.000    0.001    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\lazyframe\frame.py:4450(drop)
       28    0.000    0.000    0.000    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\pathlib.py:358(__init__)
       31    0.000    0.000    0.000    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:1790(isEnabledFor)
        1    0.000    0.000    0.000    0.000 C:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\src\utils\LoggerSetup.py:5(setup_logger)
       29    0.000    0.000    0.000    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\genericpath.py:133(_splitext)
